feature_name,count
mr,308
sister,4
said,3070
renowned,2
nature,12
wolf,14
mountains,4
tlie,10
daylight,2
writings,6
labor,10
poets,6
dutch,2
trouble,4
voyages,6
chinese,8
upon,104
maybe,2
anyhow,8
chap,8
mrs,60
york,6
ve,10
il,2
ray,2
national,6
big,6
men,44
mainly,6
abbey,4
ff,2
two,36
de,8
travels,2
book,24
trees,2
power,6
always,10
making,2
honour,4
thing,18
well,78
included,2
d,20
ha,4
cut,4
lord,12
think,36
rest,6
main,16
time,104
want,6
man,306
great,62
one,1300
moon,6
business,8
however,8
c,6
forty,4
lady,16
sat,4
history,6
exhibition,2
holiday,2
states,6
english,14
six,2
chapter,4
vol,6
another,12
individual,2
afraid,4
round,14
m,34
back,16
many,14
thought,28
though,34
soon,28
tree,8
g,2
ted,4
elizabeth,12
feelings,12
complex,2
large,4
miss,24
stood,6
must,68
ii,4
near,4
like,138
fruit,4
street,8
king,18
lost,2
every,16
reached,4
head,20
yes,20
might,36
toward,14
announced,4
much,68
away,22
little,194
fleet,2
note,2
church,10
left,10
right,8
city,14
dried,2
truth,2
life,44
least,2
hands,2
attractive,2
bright,2
deal,2
moment,14
come,46
good,44
poor,12
lot,6
paul,4
say,22
folks,10
engineer,2
anything,6
money,6
nice,4
liberty,2
content,2
hadn,2
day,44
op,8
army,6
trail,4
irish,18
slavery,8
arc,18
pilgrimage,2
till,30
amongst,8
lights,6
domestic,2
richard,8
god,26
read,2
letters,8
ago,4
favourite,2
whilst,6
happiness,6
beneath,12
robinson,8
melancholy,4
virginia,12
next,8
indeed,16
remain,4
ob,12
although,2
joe,4
entreat,2
satan,6
also,18
ear,2
conscious,2
keep,2
walks,2
old,48
position,12
land,8
wish,10
yet,12
mo,2
last,12
sea,4
may,44
soul,6
l,20
even,16
accident,2
territory,8
union,2
view,4
heroes,2
aid,4
replied,32
within,4
character,2
broken,2
low,2
slaves,2
young,26
active,2
ever,8
hail,2
since,10
beautiful,4
catch,4
cried,20
made,36
dogs,4
happened,2
height,2
love,6
never,54
body,6
see,52
tell,14
al,4
around,6
filled,4
wood,4
whole,8
name,8
american,8
admiral,2
sometimes,2
london,4
england,14
wet,2
sir,30
strange,2
among,6
eight,2
park,34
half,6
struck,6
father,22
new,24
peter,4
j,6
german,2
golden,2
colonel,4
front,4
mind,6
face,18
let,4
eyes,24
served,2
kept,2
thick,2
us,30
food,2
year,4
group,4
africa,4
circumstances,2
door,4
b,4
still,4
get,24
mother,12
familiar,2
importance,2
fo,4
piece,2
bad,6
entirely,2
small,6
perfect,4
enduring,2
whether,4
cry,6
go,36
went,14
shall,12
streets,2
seem,2
production,2
oh,32
along,8
things,12
case,6
take,10
without,8
hard,6
passing,2
second,2
person,6
towards,10
religion,4
wine,2
address,2
forgets,2
husband,6
wherefore,2
mark,2
came,16
death,4
beside,2
recollections,6
walking,6
built,2
years,8
know,80
talking,4
strike,2
abyss,2
beach,2
culture,2
lake,6
free,6
masters,2
soil,4
household,2
connection,4
eat,2
average,2
words,6
sent,6
agents,2
forth,4
told,20
took,10
days,4
miscellaneous,4
considered,4
nay,6
thai,2
june,2
muse,2
providence,2
flower,2
enable,2
yellow,2
dug,2
precious,2
intention,2
energy,2
side,10
really,2
future,2
done,2
real,4
injustice,2
die,4
thomas,4
light,8
according,2
tliat,2
impression,2
william,8
america,14
influence,2
charles,4
john,4
events,4
long,16
people,12
got,8
species,2
birds,2
presume,2
united,2
gallant,2
journey,2
square,4
wherein,2
forests,2
echo,2
priest,6
didn,6
therefore,2
train,4
house,16
remember,4
way,20
crowds,2
gold,2
ye,20
rocky,2
northward,2
thou,6
mule,2
van,8
properly,2
opinions,2
genius,2
eternity,2
meadows,2
worthy,2
hints,4
talks,2
dollars,6
endeavoured,2
x,2
crossed,2
flowing,2
tiie,4
private,6
deny,2
dragged,2
state,4
charm,2
veil,2
persons,4
sit,2
children,2
quiet,6
windows,2
hope,6
losing,2
use,6
died,2
suddenly,8
ten,2
earth,4
hand,14
rise,4
editor,2
o,12
expressed,2
gave,8
eloquent,2
behind,2
chains,2
bodies,4
says,12
makes,2
zeal,2
friendly,2
education,2
spirit,4
play,4
rural,2
require,4
temperament,2
curious,4
possessed,2
water,8
ceased,2
alone,2
poetry,2
woman,16
mock,2
looked,8
twenty,8
women,6
caught,2
five,4
remembered,2
spontaneous,2
looking,6
dropped,2
ll,18
scented,2
throwing,2
friends,2
mist,2
worse,4
true,4
place,8
white,12
heavy,4
obvious,2
chest,4
knowledge,2
succeeded,2
permission,2
exceedingly,4
districts,2
exertion,2
arm,6
make,10
neighbourhood,2
excellent,2
writers,2
smoked,2
hardly,8
far,6
leave,4
river,2
w,2
almost,2
asked,20
weak,2
dear,28
courageous,2
david,10
daniel,2
smiled,12
sue,2
pack,2
joseph,4
edward,2
beloved,2
regiment,6
thb,10
yon,10
ut,4
marvel,6
seemed,22
manner,4
answered,22
horse,8
felt,12
drew,4
feeling,4
bring,4
car,6
seated,2
world,16
returned,22
stopped,6
hundred,6
n,12
mill,8
grace,4
answer,4
look,6
rather,8
agent,4
major,2
rob,4
smile,2
picture,2
hills,6
ay,4
em,4
hat,2
hearth,6
brass,4
murder,6
san,4
idol,6
demanded,6
short,2
anne,10
loved,2
honor,4
mutual,8
thoughts,6
indignation,2
republic,2
engagement,4
prince,4
trust,2
pay,2
voice,6
air,2
quite,12
idea,2
question,2
added,6
grand,2
om,2
work,8
hearted,2
ft,2
purpose,4
bible,4
notion,2
fought,2
understand,2
muslin,4
awfully,2
divorce,2
spite,2
passed,4
set,6
papa,4
dare,2
russian,2
night,14
thy,2
longer,2
means,2
re,4
thousand,6
ruin,2
persuaded,2
lies,6
school,2
lose,2
waited,2
blue,8
farmer,2
r,2
cold,4
ho,4
radical,6
adam,2
boom,2
pace,2
blush,2
keeper,2
aft,2
girl,12
perfectly,2
crowd,2
liked,2
taken,2
e,8
mentally,2
pass,2
carried,2
sure,8
sick,2
coast,2
office,6
christian,4
murmured,4
innocent,2
tragedy,4
mockery,2
racing,2
concerning,2
pierce,2
inward,2
ere,2
ain,4
mend,10
sun,4
strove,2
cross,2
winter,4
sense,2
saying,4
family,4
painfully,2
going,8
secure,2
orders,2
sudden,2
candles,2
ward,2
whose,2
found,2
give,6
first,10
saint,6
began,6
brook,6
pretty,6
pond,2
knight,2
bowl,2
tis,8
emperor,2
sorrows,2
outset,2
princess,2
gesture,2
pictures,2
breast,2
neither,2
flowers,4
less,2
winds,2
song,2
dearest,2
scarcely,4
ah,6
master,2
